dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
283996800,1979-01-01 00:00:00 +0000 UTC,10800,Custom location,36.919864,34.293915,3.11,,-0.78,3.11,1.76,5.64,1015,,,75,0.2,84,,,,,,90,804,Clouds,overcast clouds,04n
284000400,1979-01-01 01:00:00 +0000 UTC,10800,Custom location,36.919864,34.293915,3.48,,-0.46,3.48,2.27,5.99,1015,,,75,0.26,86,,,,,,100,804,Clouds,overcast clouds,04n
284004000,1979-01-01 02:00:00 +0000 UTC,10800,Custom location,36.919864,34.293915,3.82,,-0.01,3.82,2.6,6.3,1015,,,76,0.3,120,,,,,,100,804,Clouds,overcast clouds,04n
284007600,1979-01-01 03:00:00 +0000 UTC,10800,Custom location,36.919864,34.293915,4.72,,0.67,4.72,3.46,7.33,1014,,,75,0.5,121,,,,,,100,804,Clouds,overcast clouds,04n
284011200,1979-01-01 04:00:00 +0000 UTC,10800,Custom location,36.919864,34.293915,4.8,,1.12,4.8,3.48,7.37,1014,,,77,0.61,125,,,,,,99,804,Clouds,overcast clouds,04n
284014800,1979-01-01 05:00:00 +0000 UTC,10800,Custom location,36.919864,34.293915,4.38,,1.24,4.38,3.15,7.13,1015,,,80,0.6,135,,,,,,100,804,Clouds,overcast clouds,04d
284018400,1979-01-01 06:00:00 +0000 UTC,10800,Custom location,36.919864,34.293915,4.5,,1.7,4.5,3.15,6.82,1015,,,82,0.45,136,,,,,,99,804,Clouds,overcast clouds,04d
284022000,1979-01-01 07:00:00 +0000 UTC,10800,Custom location,36.919864,34.293915,4.67,,2.69,4.67,3.44,6.89,1015,,,87,0.48,195,,,,,,95,804,Clouds,overcast clouds,04d
284025600,1979-01-01 08:00:00 +0000 UTC,10800,Custom location,36.919864,34.293915,5.11,,3.13,3.73,3.72,7.15,1014,,,87,1.78,205,,,,,,91,804,Clouds,overcast clouds,04d
284029200,1979-01-01 09:00:00 +0000 UTC,10800,Custom location,36.919864,34.293915,6.29,,3.79,4.42,4.33,8.33,1014,,,84,2.51,195,,,,,,90,804,Clouds,overcast clouds,04d
284032800,1979-01-01 10:00:00 +0000 UTC,10800,Custom location,36.919864,34.293915,7.51,,3.93,5.7,4.87,9.67,1013,,,78,2.74,199,,,,,,93,804,Clouds,overcast clouds,04d
284036400,1979-01-01 11:00:00 +0000 UTC,10800,Custom location,36.919864,34.293915,6.81,,4.3,4.83,4.47,9.05,1013,,,84,2.78,186,,,,,,100,804,Clouds,overcast clouds,04d
284040000,1979-01-01 12:00:00 +0000 UTC,10800,Custom location,36.919864,34.293915,6.55,,4.54,4.5,4.35,8.64,1013,,,87,2.81,184,,0.13,,,,100,500,Rain,light rain,10d
284043600,1979-01-01 13:00:00 +0000 UTC,10800,Custom location,36.919864,34.293915,6.52,,4.84,4.36,4.33,8.64,1013,,,89,2.96,187,,,,,,100,804,Clouds,overcast clouds,04d
284047200,1979-01-01 14:00:00 +0000 UTC,10800,Custom location,36.919864,34.293915,6.96,,5.27,4.85,4.64,9.23,1013,,,89,3.01,180,,,,,,93,804,Clouds,overcast clouds,04d
284050800,1979-01-01 15:00:00 +0000 UTC,10800,Custom location,36.919864,34.293915,6.54,,4.86,4.49,4.38,8.68,1013,,,89,2.81,182,,,,,,99,804,Clouds,overcast clouds,04n
284054400,1979-01-01 16:00:00 +0000 UTC,10800,Custom location,36.919864,34.293915,6.16,,4.49,4.16,4.11,8.5,1013,,,89,2.65,192,,,,,,100,804,Clouds,overcast clouds,04n
284058000,1979-01-01 17:00:00 +0000 UTC,10800,Custom location,36.919864,34.293915,6.21,,4.37,4.6,4.12,8.66,1013,,,88,2.19,205,,,,,,100,804,Clouds,overcast clouds,04n
